YEAR,STATE,Total,Below poverty,Standard error,Percent,Standard error
2017,Connecticut,"3,553",377,43,10.6,1.2
2017,Delaware,967,85,10,8.8,1.1
2017,District of Columbia,691,96,8,13.9,1.1
2017,Florida,"20,909","2,809",173,13.4,0.8
2017,Georgia,"10,231","1,339",104,13.1,1
2017,Hawaii,"1,402",149,17,10.6,1.2
2017,Idaho,"1,730",199,23,11.5,1.4
2017,Illinois,"12,597","1,454",102,11.5,0.8
2017,Indiana,"6,532",762,70,11.7,1.1
2017,Iowa,"3,053",230,33,7.5,1.1
2017,Kansas,"2,868",411,33,14.3,1.2
2017,Kentucky,"4,395",591,76,13.5,1.8
2017,Louisiana,"4,535",931,48,20.5,1.1
2017,Maine,"1,315",163,19,12.4,1.4
2017,Maryland,"5,977",451,58,7.6,1
2017,Massachusetts,"6,784",763,71,11.2,1
2017,Michigan,"9,895","1,135",88,11.5,0.9
2017,Minnesota,"5,619",479,57,8.5,1
2017,Mississippi,"2,948",544,27,18.5,0.9
2017,Missouri,"5,988",683,81,11.4,1.4
2017,Montana,"1,041",107,11,10.3,1
2017,Nebraska,"1,878",216,25,11.5,1.3
2017,Nevada,"2,979",392,37,13.2,1.2
2017,New Hampshire,"1,333",95,13,7.2,1
2017,New Jersey,"9,015",894,95,9.9,1.1
2017,New Mexico,"2,035",402,28,19.7,1.4
2017,New York,"19,735","2,510",141,12.7,0.7
2017,North Carolina,"10,297","1,567",96,15.2,1
2017,North Dakota,740,92,11,12.4,1.5
2017,Ohio,"11,491","1,479",98,12.9,0.9
2017,Oklahoma,"3,817",490,47,12.8,1.2
2017,Oregon,"4,202",482,55,11.5,1.4
2017,Pennsylvania,"12,568","1,373",94,10.9,0.8
2017,Rhode Island,"1,046",118,15,11.3,1.4
2017,South Carolina,"4,955",756,55,15.2,1.1
2017,South Dakota,870,93,15,10.7,1.7
2017,Tennessee,"6,699",759,65,11.3,1
2017,Texas,"28,090","3,715",186,13.2,0.7
2017,Utah,"3,130",272,34,8.7,1.1
2017,Vermont,613,53,6,8.6,1
2017,Virginia,"8,242",862,71,10.5,0.9
2017,Washington,"7,425",810,75,10.9,1
2017,West Virginia,"1,793",306,25,17.1,1.3
2017,Wisconsin,"5,809",537,41,9.2,0.7
2017,Wyoming,560,73,8,13,1.4
2017,Alabama,"4,806",723,49,15,1
2017,Alaska,717,103,14,14.4,1.9
2017,Arizona,"6,990",926,107,13.2,1.5
2017,Arkansas,"2,924",432,28,14.8,0.9
2017,California,"39,237","4,872",187,12.4,0.5
2017,Colorado,"5,527",427,53,7.7,1
2017,Connecticut,"3,555",388,42,10.9,1.2
2017,Delaware,967,89,10,9.2,1
2017,District of Columbia,692,94,7,13.6,1.1
2017,Florida,"20,894","2,864",175,13.7,0.8
2017,Georgia,"10,227","1,356",103,13.3,1
2017,Hawaii,"1,402",144,18,10.3,1.3
2017,Idaho,"1,732",202,20,11.7,1.2
2017,Illinois,"12,604","1,379",105,10.9,0.8
2017,Indiana,"6,533",748,63,11.4,1
2017,Iowa,"3,054",278,37,9.1,1.2
2017,Kansas,"2,870",421,37,14.7,1.3
2017,Kentucky,"4,401",633,69,14.4,1.6
2017,Louisiana,"4,538",970,53,21.4,1.2
2017,Maine,"1,317",158,20,12,1.5
2017,Maryland,"5,967",467,62,7.8,1
2017,Massachusetts,"6,796",724,63,10.6,0.9
2017,Michigan,"9,889","1,259",95,12.7,1
2017,Minnesota,"5,619",519,66,9.2,1.2
2017,Mississippi,"2,947",538,41,18.3,1.4
2017,Missouri,"5,979",666,86,11.1,1.4
2017,Montana,"1,039",101,10,9.7,0.9
2017,Nebraska,"1,875",194,23,10.4,1.2
2017,Nevada,"2,982",409,37,13.7,1.2
2017,New Hampshire,"1,334",88,13,6.6,0.9
2017,New Jersey,"9,007",774,82,8.6,0.9
2017,New Mexico,"2,040",380,30,18.6,1.5
2017,New York,"19,733","2,641",150,13.4,0.8
2017,North Carolina,"10,292","1,494",99,14.5,1
2017,North Dakota,742,84,10,11.3,1.3
2017,Ohio,"11,502","1,458",102,12.7,0.9
2017,Oklahoma,"3,817",482,46,12.6,1.2
2017,Oregon,"4,199",430,60,10.2,1.4
2017,Pennsylvania,"12,571","1,411",92,11.2,0.7
2017,Rhode Island,"1,045",127,15,12.2,1.5
2017,South Carolina,"4,959",773,56,15.6,1.1
2017,South Dakota,871,91,12,10.4,1.4
2017,Tennessee,"6,699",769,55,11.5,0.8
2017,Texas,"28,078","3,768",181,13.4,0.6
2017,Utah,"3,127",269,34,8.6,1.1
2017,Vermont,613,63,8,10.2,1.3
2017,Virginia,"8,249",847,77,10.3,0.9
2017,Washington,"7,431",736,63,9.9,0.9
2017,West Virginia,"1,794",311,28,17.3,1.5
2017,Wisconsin,"5,808",551,43,9.5,0.7
2017,Wyoming,560,70,8,12.4,1.4
2016,Alabama,"4,821",782,63,16.2,1.3
2016,Alaska,708,89,12,12.6,1.7
2016,Arizona,"6,878","1,108",79,16.1,1.1
2016,Arkansas,"2,941",471,28,16,0.9
2016,California,"39,143","5,435",175,13.9,0.4
2016,Colorado,"5,502",467,51,8.5,0.9
2016,Connecticut,"3,567",351,45,9.8,1.3
2016,Delaware,947,110,12,11.6,1.3
2016,District of Columbia,685,112,7,16.3,1
2016,Florida,"20,524","2,659",125,13,0.6
2016,Georgia,"10,270","1,580",116,15.4,1.1
2016,Hawaii,"1,392",129,17,9.3,1.2
2016,Idaho,"1,679",187,17,11.1,1
2016,Illinois,"12,583","1,517",102,12.1,0.8
2016,Indiana,"6,493",768,67,11.8,1
2016,Iowa,"3,099",302,29,9.8,0.9
2016,Kansas,"2,859",321,33,11.2,1.2
2016,Kentucky,"4,383",667,57,15.2,1.3
2016,Louisiana,"4,573",923,46,20.2,1
2016,Maine,"1,317",167,19,12.7,1.4
2016,Maryland,"5,930",424,54,7.1,0.9
2016,Massachusetts,"6,775",649,56,9.6,0.8
2016,Michigan,"9,875","1,091",82,11.1,0.8
2016,Minnesota,"5,430",470,49,8.7,0.9
2016,Mississippi,"2,943",622,46,21.1,1.5
2016,Missouri,"5,878",762,73,13,1.2
2016,Montana,"1,031",121,10,11.7,1
2016,Nebraska,"1,870",179,26,9.6,1.4
2016,Nevada,"2,941",298,38,10.1,1.3
2016,New Hampshire,"1,316",84,11,6.4,0.8
2016,New Jersey,"8,836",828,82,9.4,0.9
2016,New Mexico,"2,043",364,33,17.8,1.6
2016,New York,"19,459","2,314",146,11.9,0.7
2016,North Carolina,"10,056","1,363",105,13.6,1
2016,North Dakota,749,83,9,11.1,1.2
2016,Ohio,"11,442","1,573",109,13.7,0.9
2016,Oklahoma,"3,911",571,73,14.6,1.9
2016,Oregon,"4,124",486,49,11.8,1.2
2016,Pennsylvania,"12,526","1,396",100,11.1,0.8
2016,Rhode Island,"1,052",119,15,11.4,1.4
2016,South Carolina,"4,898",690,60,14.1,1.2
2016,South Dakota,855,124,13,14.5,1.5
2016,Tennessee,"6,652",988,87,14.9,1.3
2016,Texas,"27,662","3,812",166,13.8,0.6
2016,Utah,"3,077",264,30,8.6,1
2016,Vermont,622,60,6,9.6,1
2016,Virginia,"8,163",929,83,11.4,1
2016,Washington,"7,289",800,60,11,0.8
2016,West Virginia,"1,808",326,31,18,1.7
2016,Wisconsin,"5,764",620,51,10.7,0.9
2016,Wyoming,571,62,7,10.9,1.2
2015,Alabama,"4,820",784,60,16.3,1.2
2015,Alaska,703,65,6,9.2,0.9
2015,Arizona,"6,728","1,156",84,17.2,1.3
2015,Arkansas,"2,951",475,27,16.1,0.9
2015,California,"39,081","5,441",211,13.9,0.5
2015,Colorado,"5,420",538,69,9.9,1.3
2015,Connecticut,"3,572",324,43,9.1,1.2
2015,Delaware,958,106,12,11.1,1.2
2015,District of Columbia,676,113,8,16.6,1.2
2015,Florida,"20,071","3,253",176,16.2,0.9
2015,Georgia,"10,100","1,833",111,18.1,1.1
2015,Hawaii,"1,382",151,16,10.9,1.1
2015,Idaho,"1,657",204,21,12.3,1.3
2015,Illinois,"12,683","1,380",104,10.9,0.8
2015,Indiana,"6,502",880,72,13.5,1.1
2015,Iowa,"3,100",321,39,10.4,1.3
2015,Kansas,"2,849",404,42,14.2,1.5
2015,Kentucky,"4,365",851,57,19.5,1.3
2015,Louisiana,"4,599",854,57,18.6,1.2
2015,Maine,"1,340",165,20,12.3,1.5
2015,Maryland,"5,892",566,70,9.6,1.2
2015,Massachusetts,"6,777",782,65,11.5,1
2015,Michigan,"9,852","1,259",98,12.8,1
2015,Minnesota,"5,458",428,58,7.8,1.1
2015,Mississippi,"2,947",563,33,19.1,1.1
2015,Missouri,"5,946",582,71,9.8,1.2
2015,Montana,"1,018",121,12,11.9,1.2
2015,Nebraska,"1,858",192,18,10.3,1
2015,Nevada,"2,864",371,36,13,1.3
2015,New Hampshire,"1,293",94,13,7.3,1
2015,New Jersey,"8,936","1,004",95,11.2,1.1
2015,New Mexico,"2,036",400,28,19.7,1.4
2015,New York,"19,645","2,791",156,14.2,0.8
2015,North Carolina,"9,887","1,509",95,15.3,1
2015,North Dakota,763,82,12,10.7,1.5
2015,Ohio,"11,435","1,550",105,13.6,0.9
2015,Oklahoma,"3,887",551,45,14.2,1.1
2015,Oregon,"4,029",478,69,11.9,1.7
2015,Pennsylvania,"12,564","1,542",107,12.3,0.9
2015,Rhode Island,"1,044",123,16,11.8,1.5
2015,South Carolina,"4,790",683,56,14.3,1.2
2015,South Dakota,848,118,10,13.9,1.2
2015,Tennessee,"6,605",973,70,14.7,1.1
2015,Texas,"27,396","4,036",207,14.7,0.8
2015,Utah,"3,004",279,30,9.3,1
2015,Vermont,609,65,8,10.7,1.3
2015,Virginia,"8,216",894,81,10.9,1
2015,Washington,"7,193",819,54,11.4,0.8
2015,West Virginia,"1,795",261,46,14.5,2.6
2015,Wisconsin,"5,736",654,68,11.4,1.2
2015,Wyoming,574,56,8,9.8,1.4
2014,Alabama,"4,765",848,53,17.8,1.1
2014,Alaska,694,82,8,11.9,1.2
2014,Arizona,"6,657","1,409",76,21.2,1.1
2014,Arkansas,"2,891",532,44,18.4,1.5
2014,California,"38,666","6,112",218,15.8,0.6
2014,Colorado,"5,376",661,72,12.3,1.3
2014,Connecticut,"3,577",308,44,8.6,1.2
2014,Delaware,929,103,10,11,1
2014,District of Columbia,657,125,9,19,1.3
2014,Florida,"19,694","3,282",150,16.7,0.8
2014,Georgia,"9,948","1,676",92,16.8,0.9
2014,Hawaii,"1,365",147,16,10.8,1.1
2014,Idaho,"1,606",199,22,12.4,1.4
2014,Illinois,"12,774","1,756",111,13.7,0.9
2014,Indiana,"6,470",948,85,14.6,1.3
2014,Iowa,"3,078",317,33,10.3,1.1
2014,Kansas,"2,851",345,31,12.1,1.1
2014,Kentucky,"4,299",861,69,20,1.6
2014,Louisiana,"4,550","1,049",53,23.1,1.2
2014,Maine,"1,300",190,20,14.6,1.5
2014,Maryland,"5,934",584,55,9.8,0.9
2014,Massachusetts,"6,653",902,71,13.6,1.1
2014,Michigan,"9,893","1,462",90,14.8,0.9
2014,Minnesota,"5,417",447,53,8.3,1
2014,Mississippi,"2,961",654,37,22.1,1.2
2014,Missouri,"5,950",620,54,10.4,0.9
2014,Montana,"1,008",121,13,12,1.3
2014,Nebraska,"1,873",221,23,11.8,1.2
2014,Nevada,"2,819",478,45,17,1.6
2014,New Hampshire,"1,318",95,11,7.2,0.8
2014,New Jersey,"8,938","1,013",90,11.3,1
2014,New Mexico,"2,030",406,33,20,1.6
2014,New York,"19,658","2,755",144,14,0.7
2014,North Carolina,"9,823","1,678",117,17.1,1.2
2014,North Dakota,731,71,5,9.7,0.7
2014,Ohio,"11,505","1,792",109,15.6,0.9
2014,Oklahoma,"3,728",647,51,17.3,1.4
2014,Oregon,"3,955",570,47,14.4,1.2
2014,Pennsylvania,"12,620","1,581",104,12.5,0.8
2014,Rhode Island,"1,046",119,14,11.3,1.3
2014,South Carolina,"4,764",788,51,16.5,1.1
2014,South Dakota,846,109,14,12.8,1.7
2014,Tennessee,"6,496","1,122",75,17.3,1.2
2014,Texas,"26,676","4,364",173,16.4,0.6
2014,Utah,"2,928",298,36,10.2,1.2
2014,Vermont,615,57,6,9.3,0.9
2014,Virginia,"8,257",842,73,10.2,0.9
2014,Washington,"7,079",852,82,12,1.2
2014,West Virginia,"1,822",376,30,20.6,1.7
2014,Wisconsin,"5,742",628,55,10.9,1
2014,Wyoming,572,55,6,9.7,1.1
2013,Alabama,"4,807",891,94,18.5,2
2013,Alaska,696,67,15,9.7,2.1
2013,Arizona,"6,532","1,163",161,17.8,2.5
2013,Arkansas,"2,852",395,46,13.9,1.6
2013,California,"38,207","5,754",352,15.1,0.9
2013,Colorado,"5,303",569,72,10.7,1.4
2013,Connecticut,"3,637",396,59,10.9,1.6
2013,Delaware,912,102,17,11.2,1.8
2013,District of Columbia,647,150,17,23.2,2.6
2013,Florida,"19,462","2,882",249,14.8,1.3
2013,Georgia,"9,848","1,825",172,18.5,1.8
2013,Hawaii,"1,338",142,24,10.6,1.8
2013,Idaho,"1,610",200,36,12.4,2.2
2013,Illinois,"12,654","1,720",154,13.6,1.2
2013,Indiana,"6,557","1,083",138,16.5,2.1
2013,Iowa,"3,076",405,42,13.2,1.4
2013,Kansas,"2,760",315,70,11.4,2.5
2013,Kentucky,"4,501",991,106,22,2.4
2013,Louisiana,"4,534",963,113,21.2,2.5
2013,Maine,"1,330",151,22,11.4,1.6
2013,Maryland,"5,946",623,88,10.5,1.5
2013,Massachusetts,"6,735",818,150,12.1,2.2
2013,Michigan,"10,074","1,277",158,12.7,1.6
2013,Minnesota,"5,349",589,84,11,1.6
2013,Mississippi,"2,895",554,101,19.1,3.5
2013,Missouri,"5,955","1,041",136,17.5,2.3
2013,Montana,980,103,27,10.5,2.7
2013,Nebraska,"1,868",196,30,10.5,1.6
2013,Nevada,"2,774",401,60,14.5,2.2
2013,New Hampshire,"1,301",71,13,5.5,1
2013,New Jersey,"8,728",861,120,9.9,1.4
2013,New Mexico,"2,079",535,72,25.8,3.5
2013,New York,"19,335","3,337",294,17.3,1.5
2013,North Carolina,"9,672","1,419",192,14.7,2
2013,North Dakota,716,94,15,13.2,2.1
2013,Ohio,"11,280","1,684",174,14.9,1.5
2013,Oklahoma,"3,697",785,126,21.2,3.4
2013,Oregon,"3,969",556,80,14,2
2013,Pennsylvania,"12,804","1,432",152,11.2,1.2
2013,Rhode Island,"1,032",96,18,9.3,1.7
2013,South Carolina,"4,676",904,107,19.3,2.3
2013,South Dakota,827,110,20,13.3,2.5
2013,Tennessee,"6,272",972,138,15.5,2.2
2013,Texas,"26,201","4,422",314,16.9,1.2
2013,Utah,"2,923",357,50,12.2,1.7
2013,Vermont,629,43,10,6.8,1.6
2013,Virginia,"8,230",805,116,9.8,1.4
2013,Washington,"6,877",836,99,12.2,1.4
2013,West Virginia,"1,805",358,51,19.8,2.8
2013,Wisconsin,"5,615",756,104,13.5,1.9
2013,Wyoming,592,68,11,11.4,1.9
2013,Alabama,"4,751",796,67,16.7,1.4
2013,Alaska,696,76,12,10.9,1.7
2013,Arizona,"6,645","1,345",93,20.2,1.4
2013,Arkansas,"2,940",504,69,17.1,2.4
2013,California,"38,054","5,675",214,14.9,0.6
2013,Colorado,"5,289",560,54,10.6,1
2013,Connecticut,"3,545",400,36,11.3,1
2013,Delaware,907,127,14,14,1.5
2013,District of Columbia,650,139,11,21.3,1.6
2013,Florida,"19,371","2,888",177,14.9,0.9
2013,Georgia,"9,787","1,592",121,16.3,1.2
2013,Hawaii,"1,368",152,16,11.1,1.2
2013,Idaho,"1,592",205,30,12.9,1.9
2013,Illinois,"12,779","1,695",117,13.3,0.9
2013,Indiana,"6,398",743,76,11.6,1.2
2013,Iowa,"3,066",330,31,10.8,1
2013,Kansas,"2,830",373,32,13.2,1.1
2013,Kentucky,"4,360",871,63,20,1.4
2013,Louisiana,"4,504",863,95,19.2,2.1
2013,Maine,"1,310",161,17,12.3,1.3
2013,Maryland,"5,933",611,51,10.3,0.9
2013,Massachusetts,"6,570",784,93,11.9,1.4
2013,Michigan,"9,840","1,428",118,14.5,1.2
2013,Minnesota,"5,398",649,60,12,1.1
2013,Mississippi,"2,918",657,57,22.5,2
2013,Missouri,"5,997",824,90,13.7,1.5
2013,Montana,998,145,20,14.5,2
2013,Nebraska,"1,838",202,23,11,1.3
2013,Nevada,"2,760",480,52,17.4,1.9
2013,New Hampshire,"1,317",119,12,9,0.9
2013,New Jersey,"8,842",984,120,11.1,1.4
2013,New Mexico,"2,099",454,46,21.7,2.2
2013,New York,"19,488","2,825",164,14.5,0.8
2013,North Carolina,"9,619","1,793",161,18.6,1.7
2013,North Dakota,711,71,10,9.9,1.4
2013,Ohio,"11,468","1,571",138,13.7,1.2
2013,Oklahoma,"3,708",518,79,14,2.1
2013,Oregon,"3,934",593,56,15.1,1.4
2013,Pennsylvania,"12,738","1,576",133,12.4,1
2013,Rhode Island,"1,048",142,13,13.5,1.2
2013,South Carolina,"4,679",745,95,15.9,2
2013,South Dakota,833,85,12,10.3,1.5
2013,Tennessee,"6,453","1,170",114,18.1,1.8
2013,Texas,"26,383","4,425",232,16.8,0.9
2013,Utah,"2,877",239,32,8.3,1.1
2013,Vermont,619,54,6,8.7,1
2013,Virginia,"8,174",854,100,10.4,1.2
2013,Washington,"6,854",819,81,12,1.2
2013,West Virginia,"1,823",315,35,17.3,1.9
2013,Wisconsin,"5,625",618,70,11,1.2
2013,Wyoming,578,68,6,11.8,1.1
2012,Alabama,"4,808",777,91,16.2,1.9
2012,Alaska,702,70,8,10,1.1
2012,Arizona,"6,642","1,260",111,19,1.7
2012,Arkansas,"2,909",584,51,20.1,1.8
2012,California,"37,912","6,015",192,15.9,0.5
2012,Colorado,"5,153",613,61,11.9,1.2
2012,Connecticut,"3,517",363,30,10.3,0.9
2012,Delaware,900,121,11,13.5,1.2
2012,District of Columbia,632,116,9,18.4,1.3
2012,Florida,"19,166","2,926",128,15.3,0.7
2012,Georgia,"9,665","1,752",134,18.1,1.4
2012,Hawaii,"1,356",188,21,13.8,1.6
2012,Idaho,"1,588",229,22,14.4,1.4
2012,Illinois,"12,727","1,608",98,12.6,0.8
2012,Indiana,"6,343",964,70,15.2,1.1
2012,Iowa,"3,010",310,22,10.3,0.8
2012,Kansas,"2,828",397,34,14,1.3
2012,Kentucky,"4,342",776,66,17.9,1.5
2012,Louisiana,"4,465",944,99,21.1,2.3
2012,Maine,"1,330",170,14,12.8,1.1
2012,Maryland,"5,892",585,47,9.9,0.8
2012,Massachusetts,"6,566",743,59,11.3,0.9
2012,Michigan,"9,731","1,331",95,13.7,1
2012,Minnesota,"5,353",534,47,10,0.9
2012,Mississippi,"2,893",636,55,22,1.9
2012,Missouri,"5,956",905,86,15.2,1.5
2012,Montana,999,134,15,13.4,1.5
2012,Nebraska,"1,849",226,25,12.2,1.3
2012,Nevada,"2,735",433,32,15.8,1.2
2012,New Hampshire,"1,308",106,11,8.1,0.8
2012,New Jersey,"8,720",814,73,9.3,0.8
2012,New Mexico,"2,064",420,44,20.4,2.1
2012,New York,"19,298","3,328",131,17.2,0.7
2012,North Carolina,"9,634","1,652",126,17.2,1.3
2012,North Dakota,692,79,7,11.4,1.1
2012,Ohio,"11,398","1,751",119,15.4,1.1
2012,Oklahoma,"3,700",668,46,18,1.3
2012,Oregon,"3,872",523,40,13.5,1
2012,Pennsylvania,"12,664","1,756",111,13.9,0.9
2012,Rhode Island,"1,034",141,12,13.6,1.1
2012,South Carolina,"4,667",779,63,16.7,1.4
2012,South Dakota,822,106,11,12.8,1.3
2012,Tennessee,"6,422","1,194",118,18.6,1.9
2012,Texas,"26,063","4,444",192,17,0.7
2012,Utah,"2,849",312,45,11,1.6
2012,Vermont,615,69,7,11.2,1.1
2012,Virginia,"7,994",850,89,10.6,1.1
2012,Washington,"6,856",796,58,11.6,0.9
2012,West Virginia,"1,803",301,40,16.7,2.2
2012,Wisconsin,"5,628",640,49,11.4,0.9
2012,Wyoming,577,56,7,9.6,1.2
2011,Alabama,"4,765",732,74,15.4,1.5
2011,Alaska,712,83,9,11.7,1.3
2011,Arizona,"6,547","1,128",107,17.2,1.7
2011,Arkansas,"2,909",545,46,18.7,1.6
2011,California,"37,592","6,352",202,16.9,0.6
2011,Colorado,"5,016",661,54,13.2,1.1
2011,Connecticut,"3,514",356,33,10.1,0.9
2011,Delaware,902,123,9,13.7,1
2011,District of Columbia,619,123,9,19.9,1.4
2011,Florida,"18,986","2,822",136,14.9,0.7
2011,Georgia,"9,681","1,783",122,18.4,1.3
2011,Hawaii,"1,337",162,18,12.1,1.4
2011,Idaho,"1,574",248,26,15.7,1.7
2011,Illinois,"12,697","1,807",109,14.2,0.9
2011,Indiana,"6,344",989,83,15.6,1.3
2011,Iowa,"3,027",315,24,10.4,0.8
2011,Kansas,"2,807",402,32,14.3,1.2
2011,Kentucky,"4,302",689,60,16,1.4
2011,Louisiana,"4,494",947,75,21.1,1.6
2011,Maine,"1,328",178,14,13.4,1.1
2011,Maryland,"5,806",537,43,9.3,0.8
2011,Massachusetts,"6,514",688,55,10.6,0.9
2011,Michigan,"9,689","1,449",100,15,1
2011,Minnesota,"5,276",528,46,10,0.9
2011,Mississippi,"2,932",510,40,17.4,1.4
2011,Missouri,"5,892",910,98,15.4,1.7
2011,Montana,986,163,16,16.5,1.6
2011,Nebraska,"1,823",187,22,10.2,1.3
2011,Nevada,"2,682",414,34,15.5,1.3
2011,New Hampshire,"1,300",99,12,7.6,0.9
2011,New Jersey,"8,642",988,76,11.4,0.9
2011,New Mexico,"2,037",451,36,22.2,1.8
2011,New York,"19,329","3,085",144,16,0.7
2011,North Carolina,"9,504","1,459",130,15.4,1.4
2011,North Dakota,675,67,10,9.9,1.4
2011,Ohio,"11,309","1,708",129,15.1,1.2
2011,Oklahoma,"3,763",522,47,13.9,1.2
2011,Oregon,"3,850",553,51,14.4,1.3
2011,Pennsylvania,"12,697","1,604",106,12.6,0.8
2011,Rhode Island,"1,038",139,10,13.4,1
2011,South Carolina,"4,605",874,64,19,1.4
2011,South Dakota,808,117,20,14.5,2.5
2011,Tennessee,"6,324","1,030",104,16.3,1.7
2011,Texas,"25,554","4,458",196,17.4,0.8
2011,Utah,"2,812",309,29,11,1
2011,Vermont,615,71,6,11.6,1
2011,Virginia,"7,971",907,70,11.4,0.9
